"id","name","symbol","rank","price_usd","price_btc","24h_volume_usd","market_cap_usd","available_supply","total_supply","max_supply","percent_change_1h","percent_change_24h","percent_change_7d","last_updated","mentions","rating"
"dent","Dent","DENT","43","0.10333","0.00000692","97086800.0","1096823250.0","10614760961.0","100000000000",,"-1.81","53.49","389.36","1515503354",23,255363677
"neo","NEO","NEO","12","117.64","0.0078801","373315000.0","7646600000.0","65000000.0","100000000.0",,"-1.99","17.12","31.21","1515503347",60,202907042
"gamecredits","GameCredits","GAME","93","6.48155","0.00043417","28669000.0","417122432.0","64355352.0","64355352.0",,"4.49","29.89","40.65","1515503343",10,76941877
"deepbrain-chain","DeepBrain Chain","DBC","78","0.546731","0.00003662","50397500.0","492057900.0","900000000.0","10000000000.0","10000000000.0","-0.76","46.91","293.9","1515503358",6,62060477
"icon","ICON","ICX","15","11.6212","0.00077845","256071000.0","4399147212.0","378545005.0","400230000.0",,"-1.42","13.79","80.16","1515503355",13,34114246
"monacoin","MonaCoin","MONA","74","9.79838","0.00065635","21335700.0","554558667.0","56596975.0","56596975.0",,"-1.42","22.71","-6.96","1515503342",5,24795596
"ethereum","Ethereum","ETH","2","1215.37","0.0814117","7663820000.0","117732536783","96869708.0","96869708.0",,"-1.35","7.37","37.39","1515503350",14,16233658
"gas","Gas","GAS","76","57.6158","0.0038594","26010400.0","526469086.0","9137582.0","13802656.0","100000000.0","-1.78","15.07","64.51","1515503352",3,10107507
"binance-coin","Binance Coin","BNB","30","18.3998","0.00123251","290450000.0","1821837797.0","99014000.0","199013968.0",,"-0.46","5.02","113.92","1515503353",2,2316042
"raiblocks","RaiBlocks","XRB","19","26.8408","0.00179793","39553900.0","3576490681.0","133248289.0","133248289.0","133248290.0","-1.71","0.05","-16.15","1515503349",6,-1367203
"dogecoin","Dogecoin","DOGE","31","0.0151089","0.00000101","192805000.0","1702631547.0","112690635817","112690635817",,"1.12","-4.82","62.61","1515503341",5,-3555240
"bitcoin","Bitcoin","BTC","1","14873.1","1.0","18107300000.0","249744811747","16791712.0","16791712.0","21000000.0","-0.81","-3.3","7.02","1515503361",10,-5758957
"chainlink","ChainLink","LINK","89","1.23345","0.00008262","17253800.0","431707500.0","350000000.0","1000000000.0",,"-1.4","0.57","79.73","1515503355",28,-7058761
"stellar","Stellar","XLM","8","0.62302","0.00004173","230671000.0","11139670794.0","17880117483.0","103590302054",,"-1.51","-2.78","13.64","1515503343",24,-15679553
"tron","TRON","TRX","10","0.144093","0.00000965","1247670000.0","9473854298.0","65748192475.0","100000000000",,"-1.23","-9.17","116.59","1515503353",8,-17863046
"dentacoin","Dentacoin","DCN","33","0.00486396","0.00000033","18072400.0","1581712200.0","325190215376","1841395638392","8000000000000","-1.45","-14.31","843.5","1515503353",16,-58889528
"iota","IOTA","MIOTA","9","3.68433","0.0002468","286419000.0","10240706808.0","2779530283.0","2779530283.0","2779530283.0","-0.67","-5.83","-10.41","1515503351",68,-74691457
"ripple","Ripple","XRP","3","2.24408","0.00015032","3670570000.0","86933740168.0","38739144847.0","99993093880.0","100000000000","-4.04","-10.46","-5.56","1515503341",72,-207440226


"ark","Ark","ARK","48","9.36413","0.00062726","38889000.0","917509481.0","97981284.0","129231284.0",,"0.14","19.43","15.59","1515503351",69,303435501
"dent","Dent","DENT","43","0.10333","0.00000692","97086800.0","1096823250.0","10614760961.0","100000000000",,"-1.81","53.49","389.36","1515503354",24,266466446
"funfair","FunFair","FUN","54","0.185519","0.00001243","135360000.0","788432304.0","4249873622.0","10999873621.0",,"-0.23","20.75","106.81","1515503352",57,265195631
"neo","NEO","NEO","12","117.64","0.0078801","373315000.0","7646600000.0","65000000.0","100000000.0",,"-1.99","17.12","31.21","1515503347",61,206288826
"deepbrain-chain","DeepBrain Chain","DBC","78","0.546731","0.00003662","50397500.0","492057900.0","900000000.0","10000000000.0","10000000000.0","-0.76","46.91","293.9","1515503358",6,62060477
"gamecredits","GameCredits","GAME","93","6.48155","0.00043417","28669000.0","417122432.0","64355352.0","64355352.0",,"4.49","29.89","40.65","1515503343",8,61553501
"icon","ICON","ICX","15","11.6212","0.00077845","256071000.0","4399147212.0","378545005.0","400230000.0",,"-1.42","13.79","80.16","1515503355",13,34114246
"monacoin","MonaCoin","MONA","74","9.79838","0.00065635","21335700.0","554558667.0","56596975.0","56596975.0",,"-1.42","22.71","-6.96","1515503342",5,24795596
"ethereum","Ethereum","ETH","2","1215.37","0.0814117","7663820000.0","117732536783","96869708.0","96869708.0",,"-1.35","7.37","37.39","1515503350",15,17393205
"gas","Gas","GAS","76","57.6158","0.0038594","26010400.0","526469086.0","9137582.0","13802656.0","100000000.0","-1.78","15.07","64.51","1515503352",4,13476675
"binance-coin","Binance Coin","BNB","30","18.3998","0.00123251","290450000.0","1821837797.0","99014000.0","199013968.0",,"-0.46","5.02","113.92","1515503353",2,2316042
"raiblocks","RaiBlocks","XRB","19","26.8408","0.00179793","39553900.0","3576490681.0","133248289.0","133248289.0","133248290.0","-1.71","0.05","-16.15","1515503349",3,-683602
"dogecoin","Dogecoin","DOGE","31","0.0151089","0.00000101","192805000.0","1702631547.0","112690635817","112690635817",,"1.12","-4.82","62.61","1515503341",5,-3555240
"chainlink","ChainLink","LINK","89","1.23345","0.00008262","17253800.0","431707500.0","350000000.0","1000000000.0",,"-1.4","0.57","79.73","1515503355",28,-7058761
"bitcoin","Bitcoin","BTC","1","14873.1","1.0","18107300000.0","249744811747","16791712.0","16791712.0","21000000.0","-0.81","-3.3","7.02","1515503361",15,-8638436
"tron","TRON","TRX","10","0.144093","0.00000965","1247670000.0","9473854298.0","65748192475.0","100000000000",,"-1.23","-9.17","116.59","1515503353",7,-15630165
"stellar","Stellar","XLM","8","0.62302","0.00004173","230671000.0","11139670794.0","17880117483.0","103590302054",,"-1.51","-2.78","13.64","1515503343",25,-16332868
"dentacoin","Dentacoin","DCN","33","0.00486396","0.00000033","18072400.0","1581712200.0","325190215376","1841395638392","8000000000000","-1.45","-14.31","843.5","1515503353",16,-58889528
"iota","IOTA","MIOTA","9","3.68433","0.0002468","286419000.0","10240706808.0","2779530283.0","2779530283.0","2779530283.0","-0.67","-5.83","-10.41","1515503351",66,-72494650
"ripple","Ripple","XRP","3","2.24408","0.00015032","3670570000.0","86933740168.0","38739144847.0","99993093880.0","100000000000","-4.04","-10.46","-5.56","1515503341",73,-210321340


"dent","Dent","DENT","42","0.102388","0.00000699","97046200.0","1086824145.0","10614760961.0","100000000000",,"-1.1","52.15","378.42","1515504853",27,294746973
